Family;Genus;Species;SVL;Mass
Scolecophidia;Typhlops;reticulatus;248.3;22
Scolecophidia;Typhlops;vermicularis;187.9;2.2
Viperidae;Agkistrodon;bilineatus;337;51.1
Viperidae;Agkistrodon;contortrix;610.5;217.2
Viperidae;Agkistrodon;piscivorus;580;204
Viperidae;Atheris;squamigera;477.5;44.5
Viperidae;Bitis;arietans;839.5;743.3
Viperidae;Bitis;caudalis;302.5;24.1
Viperidae;Bitis;cornuta;325;32.6
Viperidae;Bitis;gabonica;331;47.5
Viperidae;Bitis;peringueyi;230;8.6
Viperidae;Bitis;schneideri;198.7;15.8
Viperidae;Bothriopsis;bilineata;422;185
Viperidae;Bothropoides;neuwiedi;413;43
Viperidae;Bothrops;moojeni;618;217
Viperidae;Causus;defilippii;317;21.6
Viperidae;Causus;resimus;531.7;53.1
Viperidae;Causus;rhombeatus;630;94.8
Viperidae;Cerastes;cerastes;530.1;186.6
Viperidae;Cerastes;gasperettii;547;144
Viperidae;Cerastes;vipera;214.6;9.9
Viperidae;Crotalus;cerastes;428.8;94.7
Viperidae;Crotalus;durissus;1344.5;2440.5
Viperidae;Crotalus;horridus;946;581.9
Viperidae;Crotalus;molossus;885;438.4
Viperidae;Crotalus;oreganus;920;502.6
Viperidae;Crotalus;polystictus;607;188.9
Viperidae;Crotalus;pricei;421.4;62.6
Viperidae;Crotalus;ravus;683;223
Viperidae;Crotalus;triseriatus;180;4.4
Viperidae;Crotalus;viridis;678.7;221.1
Viperidae;Daboia;palaestinae;872;437.5
Viperidae;Daboia;russelii;930;675
Viperidae;Echis;carinatus;550.5;178.4
Viperidae;Echis;coloratus;622.7;147.7
Viperidae;Echis;pyramidum;457.8;76.6
Viperidae;Eristicophis;macmahoni;542;125
Viperidae;Gloydius;blomhoffii;410;63.7
Viperidae;Gloydius;himalayanus;481;75.7
Viperidae;Gloydius;shedaoensis;634;124
Viperidae;Macrovipera;deserti;690;244.2
Viperidae;Macrovipera;lebetina;768;380
Viperidae;Macrovipera;mauritanica;1080;855
Viperidae;Montivipera;bornmuelleri;654;193
Viperidae;Montivipera;latifii;578;104
Viperidae;Montivipera;raddei;848.7;317.3
Viperidae;Montivipera;xanthina;942;351.3
Viperidae;Ovophis;zayuensis;435;72
Viperidae;Protobothrops;jerdonii;633.5;166.5
Viperidae;Pseudocerastes;fieldi;612.5;185.2
Viperidae;Pseudocerastes;persicus;625;215.3
Viperidae;Rhinocerophis;alternatus;760;229.6
Viperidae;Rhinocerophis;itapetiningae;304;38
Viperidae;Sistrurus;catenatus;535;167.2
Viperidae;Sistrurus;miliarius;369;40.6
Viperidae;Trimeresurus;gracilis;296;34.5
Viperidae;Trimeresurus;kanburiensis;825;283.5
Viperidae;Trimeresurus;stejnegeri;707;175.5
Viperidae;Vipera;ammodytes;611;210.9
Viperidae;Vipera;aspis;517;74.1
Viperidae;Vipera;berus;330.1;32.3
Viperidae;Vipera;kaznakovi;493.5;52.1
Viperidae;Total;length;;
Boidae;Boa;constrictor;1848.3;5646.7
Boidae;Calabaria;reinhardtii;837;183
Boidae;Candoia;bibroni;560;45.2
Boidae;Candoia;carinata;780;530
Boidae;Charina;bottae;488.65;39.8
Boidae;Corallus;caninus;1142.5;586.5
Boidae;Corallus;hortulanus;1273.8;207.2
Boidae;Epicrates;cenchria;1023.3;829.6
Boidae;Epicrates;maurus;1440;1767
Boidae;Eryx;conicus;260;15.9
Boidae;Eryx;jaculus;599.3;134.5
Boidae;Eryx;johnii;900;531
Boidae;Eunectes;murinus;2426;5900
Colubridae;Ahaetulla;prasina;1380;78.2
Colubridae;Amphiesma;metusia;885;134
Colubridae;Amphiesma;sauteri;414.25;14
Colubridae;Apostolepis;albicollaris;297;4
Colubridae;Apostolepis;ammodites;259;2
Colubridae;Apostolepis;assimilis;251;4
Colubridae;Apostolepis;flavotorquata;502;20
Colubridae;Arizona;elegans;1070;161
Colubridae;Atractus;badius;306.8;8.3
Colubridae;Atractus;major;456;23
Colubridae;Atractus;pantostictus;300;15
Colubridae;Atractus;snethlageae;321;7.75
Colubridae;Boiga;ceylonensis;460;5.9
Colubridae;Boiga;cynodon;2350;417.3
Colubridae;Boiga;dendrophila;1260;182
Colubridae;Boiga;irregularis;1320;402
Colubridae;Boiruna;maculata;1517;823.5
Colubridae;Borikenophis;portoricensis;816.9;64
Colubridae;Chironius;exoletus;1276;147
Colubridae;Chironius;flavolineatus;1116;89
Colubridae;Chironius;fuscus;1080;70
